
 Lista de Imóveis da Caixa;;Data de geração:;27/10/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444419970935 ;AC ;CRUZEIRO DO SUL ;ZONA RURAL ;ESTRADA DO CANELA FINA, N. SN, PARTE 19, DESMEMBRADA DO LOTE 174 ;99.222,38;250.000,00;60.32;Terreno, 0.00 de área total, 0.00 de área privativa, 1899.98 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419970935
 10005120 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272, LOTE 10 ;71.534,67;150.000,00;52.32;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005120
 10005121 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 11 ;71.534,67;150.000,00;52.32;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005121
 10005122 ;AC ;CRUZEIRO DO SUL ;BAIRRO COHAB ;RUA DO PURUS, N. S/N, QUARTEIRÃO 272 LOTE 12 ;71.534,67;150.000,00;52.32;Terreno, 0.00 de área total, 0.00 de área privativa, 600.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005122
 1444415405230 ;AC ;CRUZEIRO DO SUL ;Bairro AABB ; AVENIDA VITORIA REGIA, N. 0, Apto ., 1027 ;150.326,51;255.000,00;41.05;Casa, 0.00 de área total, 131.20 de área privativa, 257.72 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444415405230
 1444416896521 ;AC ;CRUZEIRO DO SUL ;JARDIM PRIMAVERA ;RUA PROJETADA, N. SN, LT 21 QD 04 TIPO AC-3 ;281.199,00;477.000,00;41.05;Casa, 0.00 de área total, 98.60 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416896521
 1444420699441 ;AC ;CRUZEIRO DO SUL ;CENTRO ; AVENIDA 17 DE NOVEMBRO, N. SN, QD 27 LT 18 ;323.118,35;507.000,00;36.27;Casa, 0.00 de área total, 240.00 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 3 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420699441
 8444400929075 ;AC ;PORTO ACRE ;CORONEL JOSE CANDIDO ; RUA LUIZ GALVEZ, N. SN,  QD 46 LT 05 ;83.391,04;138.000,00;39.58;Casa, 0.00 de área total, 258.00 de área privativa, 580.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400929075
 10151420 ;AC ;RIO BRANCO ;FLORESTA SUL ;ESTRADA DA FLORESTA ;5.386.916,55;9.226.000,00;41.62;Gleba, 0.00 de área total, 0.00 de área privativa, 49338.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10151420
 1555537661020 ;AC ;RIO BRANCO ;NOVA ESTACAO ;RUA BELEM, N. 754, ;189.762,40;325.000,00;41.62;Casa, 0.00 de área total, 175.42 de área privativa, 290.27 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555537661020
 8444405294647 ;AC ;RIO BRANCO ;Novo Calafate ;RUA MADEIREIRA, N. 274, ;100.741,08;170.000,00;40.75;Casa, 78.00 de área total, 78.00 de área privativa, 252.70 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405294647
 1555537387646 ;AC ;RIO BRANCO ;VILA IVONETE ;RUA EDUCANDOS, N. SN, ;78.556,78;130.000,00;39.58;Terreno, 0.00 de área total, 0.00 de área privativa, 277.29 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555537387646
 8555516467800 ;AC ;RIO BRANCO ;VILA DA AMIZADE ;TRAVESSA ABACABEIRA, N. 50, ;31.507,86;52.000,00;39.41;Casa, 0.00 de área total, 65.00 de área privativa, 132.15 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555516467800
 1555517980740 ;AC ;RIO BRANCO ;Conjunto Tangará ;RUA DOURADO (ANTIGA RUA 10), N. 445, N28 QD N ;106.845,56;173.000,00;38.24;Casa, 99.73 de área total, 106.50 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555517980740
 1444406697321 ;AC ;RIO BRANCO ;LOT NOVA ESPERANÇA ;RUA BENZINHO, N. SN, QD 06, LT 38 ;200.116,69;314.000,00;36.27;Casa, 144.00 de área total, 144.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406697321
 1444406574874 ;AC ;RIO BRANCO ;BOSQUE ;AVENIDA NACOES UNIDAS, N. SN, LT NO/11/01/1/62 ;195.018,18;306.000,00;36.27;Casa, 89.90 de área total, 64.00 de área privativa, 170.50 de área do terreno, a.serv.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406574874
 1444407012594 ;AC ;RIO BRANCO ;ESTACAO EXPERIMENTAL ;RUA VITAL BRASIL, N. 379, ;230.707,78;362.000,00;36.27;Casa, 155.66 de área total, 155.66 de área privativa, 139.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407012594
 1600000161288 ;AC ;RIO BRANCO ;ESTACAO EXPERIMENTAL ; RUA BOA VISTA, N. SN, ;558.287,33;876.000,00;36.27;Casa, 310.94 de área total, 173.15 de área privativa, 630.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000161288
 10214913 ;AC ;RIO BRANCO ;CHACARA IPE ;ESTRADA DIAS MARTINS, N. 00, QD 08, LT 07 ;427.000,58;670.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 1307.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214913
 1444405129400 ;AC ;RIO BRANCO ;NOVO HORIZONTE ;RUA ADEMAR DE BARROS, N. 74, ;240.904,81;378.000,00;36.27;Casa, 182.84 de área total, 182.84 de área privativa, 440.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405129400
 1555528608775 ;AC ;RIO BRANCO ;ABRAAO ALAB ;RUA ARI RODRIGUES, N. SN, ;197.567,43;310.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 630.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555528608775
 1555526252809 ;AC ;RIO BRANCO ;PARQUE DOS SABIAS ;RUA PALERMO, N. 49, QD02 CS49 ;242.816,75;381.000,00;36.27;Casa, 0.00 de área total, 70.85 de área privativa, 149.80 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526252809
 1444405651913 ;AC ;RIO BRANCO ;CONJUNTO OURICURI ;RUA EMA, N. SN, LT 11 QD 38A ;200.116,69;314.000,00;36.27;Casa, 200.00 de área total, 98.95 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405651913
 1555523583880 ;AC ;RIO BRANCO ;NOVA ESPERANCA ;RUA JATUARANA, N. 77, ;191.831,60;301.000,00;36.27;Casa, 149.95 de área total, 149.95 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555523583880
